spotify_id,name,artists,daily_rank,daily_movement,weekly_movement,country,snapshot_date,popularity,is_explicit,duration_ms,album_name,album_release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2LwsunYgfRoqyIsNtgOCQx,Ma Meilleure Ennemie (from the series Arcane League of Legends),"Arcane, Stromae, Pomme",8,0,1,BE,1/21/2025,85,FALSE,147973,Arcane League of Legends: Season 2 (Soundtrack from the Animated Series),11/23/2024,0.678,0.604,4,-7.926,0,0.0962,0.00465,0.000936,0.278,0.374,88,4
5TFD2bmFKGhoCRbX61nXY5,NUEVAYoL,Bad Bunny,9,5,7,BE,1/21/2025,93,FALSE,183685,DeBÍ TiRAR MáS FOToS,1/5/2025,0.142,0.195,6,-20.024,1,0.139,0.265,0.995,0.204,0.12,137.922,4
1RiCNSkK4AfT1j8ZM4JnVs,CIEL,GIMS,10,1,5,BE,1/21/2025,69,FALSE,186461,LE NORD SE SOUVIENT,11/21/2024,0.797,0.605,4,-9.587,0,0.0769,0.129,0,0.13,0.874,129.933,4
0yyFAbTlOk7DFhh6RSug9S,SOIS PAS TIMIDE,GIMS,11,-1,0,BE,1/21/2025,74,FALSE,165978,LE NORD SE SOUVIENT,9/13/2024,0.917,0.658,1,-7.253,1,0.0933,0.0896,9.78E-06,0.0733,0.795,127.936,4
3nHuKdFJZm78CoeBnDcFKe,Bad Dreams,Teddy Swims,12,-3,-2,BE,1/21/2025,87,FALSE,184577,Bad Dreams,9/13/2024,0.707,0.68,8,-6.203,1,0.0884,0.274,0,0.0932,0.62,125.058,4
0qlYaRFGvgR6afy1f4BBwD,NANANI NANANA,Gazo,13,2,-5,BE,1/21/2025,80,TRUE,217693,APOCALYPSE,11/29/2024,0.638,0.423,6,-11.952,0,0.0513,0.346,0.00333,0.0829,0.188,86.92,4
2VyvDGdcVY04cNYou9MFVX,Dirty Cash (Money Talks),"PAWSA, The Adventures Of Stevie V",14,-1,4,BE,1/21/2025,80,FALSE,221448,Dirty Cash (Money Talks),11/15/2024,0.783,0.473,0,-6.493,1,0.167,0.0693,3.40E-05,0.149,0.539,131.89,4
2A1aS3mwuGuX2yk1bgxOvA,Kisses (feat. bbyclose),"BL3SS, CamrinWatsin, bbyclose",15,1,-3,BE,1/21/2025,81,FALSE,138246,Kisses (feat. bbyclose),3/22/2024,0.793,0.779,9,-4.609,0,0.0581,0.279,0.000311,0.314,0.687,142.002,4
5NWpquAje6NyvxD57oXNu6,SPIDER,"GIMS, DYSTINCT",16,2,-3,BE,1/21/2025,74,FALSE,188818,LE NORD SE SOUVIENT,9/13/2024,0.823,0.691,9,-7.322,0,0.197,0.0774,1.73E-06,0.1,0.707,119.96,4
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,17,0,0,BE,1/21/2025,89,FALSE,210688,I've Tried Everything But Therapy (Part 1),9/15/2023,0.561,0.604,9,-4.409,1,0.0337,0.199,1.90E-05,0.104,0.242,159.92,3
1XRpRDBpJPjjcj406euOpa,Ga Dan!,Roxy Dekker,18,-6,32,BE,1/21/2025,63,FALSE,137999,Ga Dan!,1/17/2025,0.716,0.892,0,-4.391,0,0.0412,0.147,0,0.285,0.888,119.988,4
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,19,0,-5,BE,1/21/2025,92,FALSE,261466,HIT ME HARD AND SOFT,5/17/2024,0.467,0.247,6,-12.002,0,0.0431,0.612,0.000271,0.17,0.126,148.101,4
1EDPVGbyPKJPeGqATwXZvN,The Emptiness Machine,Linkin Park,20,10,0,BE,1/21/2025,83,TRUE,190427,From Zero,11/15/2024,0.466,0.872,7,-3.344,1,0.0336,0.0156,0,0.121,0.806,184.115,4
4MSj19TwYBLgDFj3ddEeco,Black Friday (pretty like the sun),"Lost Frequencies, Tom Odell",21,1,0,BE,1/21/2025,81,FALSE,145599,Black Friday (pretty like the sun),7/19/2024,0.853,0.618,6,-10.833,1,0.0923,0.633,0.89,0.0972,0.32,126.031,4
3wPPWcVuinAU7dXcJXtCID,La La La,"Naughty Boy, Sam Smith",22,-1,-3,BE,1/21/2025,80,FALSE,222200,Hotel Cabana (Deluxe Version),1/1/2013,0.772,0.65,6,-5.202,0,0.0306,0.107,1.13E-06,0.0905,0.262,125.083,4
2lTm559tuIvatlT1u0JYG2,BAILE INoLVIDABLE,Bad Bunny,23,8,7,BE,1/21/2025,94,TRUE,367725,DeBÍ TiRAR MáS FOToS,1/5/2025,0.168,0.00332,10,-46.113,1,0.0615,0.192,0.79,0.112,0.219,119.387,3
5o0osRx8kYJTOqlOSggr9Z,Carry You Home,Alex Warren,24,1,-2,BE,1/21/2025,82,FALSE,166880,"You'll Be Alright, Kid (Chapter 1)",9/27/2024,0.525,0.66,10,-7.094,1,0.111,0.468,3.30E-06,0.128,0.458,123.787,4
6WatFBLVB0x077xWeoVc2k,Si Antes Te Hubiera Conocido,KAROL G,25,2,7,BE,1/21/2025,92,FALSE,195824,Si Antes Te Hubiera Conocido,6/21/2024,0.924,0.668,11,-6.795,1,0.0469,0.446,0.000594,0.0678,0.787,128.027,4
3xkHsmpQCBMytMJNiDf3Ii,Beautiful Things,Benson Boone,26,-3,-2,BE,1/21/2025,87,FALSE,180304,Fireworks & Rollerblades,4/5/2024,0.472,0.471,10,-5.692,1,0.0603,0.151,0,0.14,0.219,105.029,3
3JvKfv6T31zO0ini8iNItO,Another Love,Tom Odell,27,23,-4,BE,1/21/2025,85,TRUE,244360,Long Way Down (Deluxe),6/24/2013,0.445,0.537,4,-8.532,0,0.04,0.695,1.65E-05,0.0944,0.131,122.769,4
3hRV0jL3vUpRrcy398teAU,The Night We Met,Lord Huron,28,-4,-2,BE,1/21/2025,88,FALSE,208211,Strange Trails,4/6/2015,0.448,0.369,9,-9.514,1,0.0452,0.968,0.272,0.638,0.0998,174.097,3
1Mzg6bu3hkCwJKEf7v49MN,CARTIER SANTOS,SDM,29,16,8,BE,1/21/2025,76,TRUE,183813,A LA VIE A LA MORT,9/26/2024,0.489,0.586,9,-7.218,0,0.327,0.0837,0,0.162,0.0892,89.493,4
